"","id","y_2011","y_2012","y_2013","y_2014","y_2015"
"1",37081010100,33417,34144,32780,31771,29671
"2",37081010200,34939,32802,34946,36795,35770
"3",37081010300,31750,30461,31713,32983,36770
"4",37081010401,83521,80213,85161,79650,77880
"5",37081010403,71811,55052,68188,69153,69577
"6",37081010404,221728,216672,205449,185445,183490
"7",37081010500,93977,105810,102677,96638,91547
"8",37081010601,53393,57226,61536,64928,61826
"9",37081010602,54628,47328,51210,49582,50120
"10",37081010701,56192,51357,49812,52586,58532
"11",37081010702,35087,40724,40555,40212,35354
"12",37081010800,53057,52925,48671,59728,64567
"13",37081010900,39462,46613,43045,46063,53800
"14",37081011000,20650,21117,23656,25723,26803
"15",37081011101,26357,25723,24365,25639,25215
"16",37081011102,35212,36132,32629,34650,34878
"17",37081011200,26343,27610,31605,33838,36774
"18",37081011300,38301,36430,44893,42795,43288
"19",37081011400,22736,23247,24181,20731,19196
"20",37081011500,30034,30377,29841,30473,32269
"21",37081011601,35880,40473,35525,40390,35807
"22",37081011602,35555,38420,40629,39383,43333
"23",37081011904,33885,32554,36120,37068,38225
"24",37081011905,42869,40718,39790,35602,36216
"25",37081012503,81234,84772,82051,84102,93863
"26",37081012504,79026,83847,72864,66074,76597
"27",37081012505,113152,123157,120702,115909,118136
"28",37081012508,56725,54811,56170,56266,56297
"29",37081012509,96002,90139,90885,95946,98015
"30",37081012510,136902,126967,125586,126740,146465
"31",37081012511,113308,108530,115464,117870,118038
"32",37081012601,36784,36480,36563,35391,37497
"33",37081012604,37272,38449,44612,42229,44654
"34",37081012607,67811,70448,69132,67971,66361
"35",37081012608,29937,32458,34335,33974,34750
"36",37081012609,48186,47671,42763,45091,47320
"37",37081012610,49013,57448,67423,68679,65491
"38",37081012611,36685,39536,37213,38178,38637
"39",37081012612,41122,43513,40467,38280,40408
"40",37081012617,53937,51513,51562,46460,46821
"41",37081012703,95742,109976,123338,112047,113630
"42",37081012704,36426,40284,38794,37402,33807
"43",37081012705,44167,38646,36285,37442,34122
"44",37081012706,34679,33652,29504,24892,26820
"45",37081012707,32404,28971,26398,27886,26823
"46",37081012803,54515,58010,57191,56938,58615
"47",37081012804,51092,49923,48736,50376,45938
"48",37081012805,48605,44344,44042,48119,51231
"49",37081013601,38102,39407,38943,37682,34452
"50",37081013602,45306,43461,45053,44839,45202
"51",37081013700,77591,80993,82155,77042,81890
"52",37081013800,28069,26610,26090,30275,39457
"53",37081013900,16988,17655,16762,17965,19421
"54",37081014000,39145,42276,37242,33852,34828
"55",37081014200,29484,28430,28533,27227,24804
"56",37081014300,21796,20213,18743,25918,28305
"57",37081014406,44193,44468,44246,44861,43761
"58",37081014407,64406,64122,63475,69916,71039
"59",37081014408,36089,34752,33531,36219,37645
"60",37081014409,52605,47855,41009,43340,45790
"61",37081014410,49127,46686,43122,49432,48135
"62",37081014411,38675,41992,43069,44191,43231
"63",37081014412,84422,79703,77592,75356,75144
"64",37081014501,22757,23170,28088,27596,30593
"65",37081014502,35612,33636,34412,33087,34245
"66",37081014503,37585,35207,34535,33574,31120
"67",37081015100,58540,57458,53394,54335,59918
"68",37081015200,58152,58327,56851,55884,57249
"69",37081015300,74663,70750,73598,68808,73033
"70",37081015401,62859,64744,66169,63300,62248
"71",37081015402,47566,44809,42790,40949,40508
"72",37081015500,53464,50504,51124,54966,54758
"73",37081015600,98972,100700,101695,95858,111330
"74",37081015703,63967,67854,65471,65333,70356
"75",37081015704,90222,88618,102855,108398,104152
"76",37081015705,54959,46470,43389,44995,45916
"77",37081015706,114241,121460,126534,126293,146625
"78",37081015707,81333,82209,81546,80317,76063
"79",37081015800,105608,108257,116159,124000,124121
"80",37081015901,69684,74759,79724,78446,99940
"81",37081015902,110244,108103,104013,113315,108898
"82",37081016003,130411,121199,116989,118421,124790
"83",37081016005,94275,105270,110172,109431,107401
"84",37081016006,77671,75544,74302,74936,72967
"85",37081016007,90469,84380,76525,77140,72643
"86",37081016008,88935,84909,84131,81812,78296
"87",37081016009,89904,95534,92575,89401,90551
"88",37081016010,80408,57004,57704,57135,52797
"89",37081016011,49639,48964,49701,50104,47508
"90",37081016101,65221,68168,68839,71463,80890
"91",37081016102,42568,42721,41804,42767,43574
"92",37081016103,55908,54035,62277,57410,55237
"93",37081016201,123402,114521,114743,116128,117101
"94",37081016203,80283,81746,77148,84017,85430
"95",37081016204,89172,92418,98990,101246,105019
"96",37081016205,74542,74447,68908,68628,70853
"97",37081016303,77420,71088,69181,74601,67877
"98",37081016304,116348,114784,112771,108262,110522
"99",37081016305,104466,96360,93247,88848,94320
"100",37081016306,64918,67025,67266,65329,62772
"101",37081016405,44865,44666,44061,47210,46925
"102",37081016406,64131,63387,69908,68215,77580
"103",37081016407,93976,85239,87680,88715,89284
"104",37081016408,109218,110763,109688,116319,119951
"105",37081016409,112365,112401,109968,100903,97747
"106",37081016410,60066,61657,62405,58053,63083
"107",37081016502,125430,127604,124942,116119,120393
"108",37081016503,60819,58416,64102,63513,60475
"109",37081016505,71512,64656,65797,71825,69981
"110",37081016506,86242,85322,81509,77216,78823
"111",37081016600,49385,51640,59831,61013,65467
"112",37081016701,49208,48226,51383,48334,46999
"113",37081016702,57740,61240,58401,54220,52852
"114",37081016800,55656,58260,54641,55821,54758
"115",37081016900,73745,70905,68898,67917,64378
"116",37081017000,61939,66302,64537,58158,60848
"117",37081017100,84991,81326,80271,78579,79238
"118",37081017200,74489,70227,69275,69588,66989
"119",37081980100,NA,NA,NA,NA,NA
