id,y_2011,y_2012,y_2013,y_2014,y_2015
37081010100,287,379,355,405,433
37081010200,660,724,750,845,749
37081010300,448,512,608,588,619
37081010401,143,136,134,183,175
37081010403,99,81,82,113,157
37081010404,87,182,149,92,72
37081010500,189,173,228,297,244
37081010601,273,267,239,200,120
37081010602,175,167,209,181,212
37081010701,129,95,124,79,70
37081010702,61,40,37,33,60
37081010800,200,271,255,300,356
37081010900,233,233,209,195,195
37081011000,248,276,361,295,357
37081011101,790,781,766,790,883
37081011102,753,727,661,612,552
37081011200,723,713,630,731,781
37081011300,731,517,369,413,437
37081011400,1020,816,919,829,916
37081011500,627,671,528,576,578
37081011601,408,541,434,523,696
37081011602,827,742,703,668,790
37081011904,629,679,593,617,716
37081011905,1207,980,859,833,748
37081012503,609,624,578,558,558
37081012504,575,685,562,530,444
37081012505,279,290,306,292,263
37081012508,511,480,577,578,525
37081012509,249,230,205,171,173
37081012510,305,297,290,241,275
37081012511,325,337,205,230,289
37081012601,999,945,1024,1049,1006
37081012604,1291,1236,1569,1380,1228
37081012607,352,344,481,537,532
37081012608,770,836,872,777,584
37081012609,1204,1076,1222,1495,1684
37081012610,629,689,814,656,635
37081012611,679,598,540,657,717
37081012612,1239,1104,1118,1209,1164
37081012617,671,705,733,719,713
37081012703,657,706,689,692,607
37081012704,961,839,790,876,827
37081012705,910,920,890,889,799
37081012706,711,752,662,681,817
37081012707,453,463,469,422,449
37081012803,1547,1510,1635,1595,1569
37081012804,602,685,696,785,841
37081012805,763,640,624,660,692
37081013601,327,305,274,226,247
37081013602,1023,983,949,852,709
37081013700,627,574,468,432,445
37081013800,1153,902,986,965,833
37081013900,790,796,850,816,719
37081014000,710,567,665,730,724
37081014200,762,774,841,758,755
37081014300,568,478,417,462,566
37081014406,684,576,659,523,557
37081014407,698,759,752,782,911
37081014408,379,410,434,427,351
37081014409,881,780,750,794,734
37081014410,734,786,658,676,672
37081014411,1011,1017,1068,1067,1040
37081014412,432,444,595,561,634
37081014501,325,335,370,328,303
37081014502,1270,1106,1127,983,839
37081014503,839,743,758,756,723
37081015100,1139,1104,1204,1118,1128
37081015200,1687,1804,1929,1981,1995
37081015300,1626,1466,1485,1671,1515
37081015401,1172,1163,1102,999,1032
37081015402,1486,1386,1258,1555,1579
37081015500,1496,1376,1244,1285,1022
37081015600,1715,1730,1986,2025,1969
37081015703,597,731,790,959,1001
37081015704,743,857,878,1038,792
37081015705,453,473,485,528,510
37081015706,551,670,667,570,602
37081015707,1015,1010,1216,1039,931
37081015800,939,874,958,1107,1077
37081015901,1239,1081,1035,1136,1042
37081015902,499,512,689,668,644
37081016003,653,675,625,516,422
37081016005,168,124,173,215,244
37081016006,237,276,317,397,394
37081016007,398,319,476,411,426
37081016008,925,1008,964,1004,905
37081016009,324,264,293,335,455
37081016010,430,494,348,324,349
37081016011,710,819,820,739,667
37081016101,490,550,579,530,378
37081016102,540,494,514,618,784
37081016103,821,709,707,780,655
37081016201,889,924,961,942,826
37081016203,486,415,485,553,583
37081016204,345,359,358,404,393
37081016205,458,512,520,425,392
37081016303,561,709,782,716,649
37081016304,305,414,344,270,241
37081016305,321,311,398,416,350
37081016306,419,494,531,585,698
37081016405,433,341,399,399,368
37081016406,397,510,679,558,644
37081016407,229,413,342,452,421
37081016408,186,195,174,142,135
37081016409,253,242,161,188,155
37081016410,1102,1164,1208,1037,1076
37081016502,740,774,843,859,876
37081016503,541,503,478,604,655
37081016505,496,707,587,615,489
37081016506,769,799,670,743,456
37081016600,725,686,692,561,573
37081016701,987,995,1020,1041,1011
37081016702,1260,1354,1245,1188,1150
37081016800,1910,1940,1719,1843,1826
37081016900,1078,1259,1231,1398,1239
37081017000,1432,1365,1360,1332,1310
37081017100,1198,1204,1276,1210,1299
37081017200,1510,1576,1524,1589,1647
37081980100,0,0,0,0,0
