"id","y_2011","y_2012","y_2013","y_2014","y_2015"
37081010100,15,19,18,4,4
37081010200,192,97,112,181,234
37081010300,62,30,42,22,27
37081010401,216,256,274,240,249
37081010403,157,156,157,179,179
37081010404,608,554,488,530,590
37081010500,318,339,387,382,412
37081010601,361,390,432,514,497
37081010602,433,428,427,359,358
37081010701,191,215,188,283,380
37081010702,204,218,218,218,185
37081010800,163,183,247,258,364
37081010900,356,360,318,312,316
37081011000,0,13,17,14,33
37081011101,25,40,60,60,52
37081011102,40,57,51,66,62
37081011200,143,182,277,244,334
37081011300,145,154,188,228,226
37081011400,18,23,57,47,38
37081011500,54,51,34,24,35
37081011601,11,23,52,60,72
37081011602,0,9,10,9,7
37081011904,92,126,192,199,179
37081011905,62,95,99,97,111
37081012503,583,743,666,632,634
37081012504,285,325,302,317,343
37081012505,879,883,1054,1094,1172
37081012508,299,229,277,238,312
37081012509,372,388,386,439,454
37081012510,763,780,759,722,819
37081012511,973,1047,1183,1359,1407
37081012601,285,226,201,237,274
37081012604,113,195,222,225,230
37081012607,172,148,166,143,99
37081012608,39,22,30,23,28
37081012609,159,208,209,206,258
37081012610,114,105,152,171,134
37081012611,54,95,75,107,140
37081012612,142,145,192,212,215
37081012617,96,76,52,92,69
37081012703,527,539,627,546,582
37081012704,106,97,46,63,47
37081012705,194,148,125,142,132
37081012706,30,38,46,44,52
37081012707,11,6,15,11,17
37081012803,368,368,397,495,478
37081012804,262,219,215,252,278
37081012805,145,129,170,254,243
37081013601,10,11,28,29,48
37081013602,86,84,105,80,75
37081013700,476,439,447,453,453
37081013800,113,114,32,9,37
37081013900,25,10,10,17,26
37081014000,31,53,46,54,46
37081014200,0,0,0,0,0
37081014300,60,75,35,37,21
37081014406,68,71,37,54,64
37081014407,452,522,558,545,613
37081014408,63,61,72,73,74
37081014409,129,153,115,161,140
37081014410,172,219,145,204,190
37081014411,82,49,46,79,107
37081014412,182,154,148,192,194
37081014501,7,0,0,0,0
37081014502,9,19,22,18,62
37081014503,24,12,0,0,0
37081015100,121,129,112,173,185
37081015200,489,575,544,566,557
37081015300,385,461,500,646,757
37081015401,146,157,256,301,325
37081015402,95,109,127,113,161
37081015500,324,212,223,177,206
37081015600,682,669,673,750,802
37081015703,670,779,727,647,693
37081015704,997,922,1005,1081,1019
37081015705,265,203,296,377,383
37081015706,501,617,783,850,1076
37081015707,832,919,918,912,917
37081015800,794,879,1093,1064,985
37081015901,233,321,333,367,452
37081015902,466,452,495,572,589
37081016003,397,483,484,478,490
37081016005,202,246,277,205,280
37081016006,319,416,393,363,318
37081016007,643,730,757,782,819
37081016008,618,611,582,619,627
37081016009,204,241,351,376,413
37081016010,317,248,291,324,264
37081016011,315,269,283,325,387
37081016101,715,590,516,533,618
37081016102,218,292,336,336,333
37081016103,497,393,663,686,684
37081016201,566,538,567,622,804
37081016203,516,508,389,388,247
37081016204,264,260,281,248,306
37081016205,302,318,251,224,238
37081016303,337,321,281,263,240
37081016304,386,398,389,462,428
37081016305,330,378,382,409,405
37081016306,429,366,474,578,512
37081016405,64,80,65,70,85
37081016406,383,366,371,485,549
37081016407,654,592,731,667,550
37081016408,340,340,229,286,278
37081016409,299,282,261,301,323
37081016410,160,124,133,174,215
37081016502,866,868,765,724,726
37081016503,284,282,468,434,389
37081016505,236,275,271,373,303
37081016506,395,424,506,435,476
37081016600,47,23,45,23,42
37081016701,308,237,230,241,298
37081016702,168,182,106,148,81
37081016800,258,287,220,124,161
37081016900,95,118,100,118,151
37081017000,198,292,290,283,229
37081017100,564,519,571,558,717
37081017200,608,473,426,581,515
37081980100,0,0,0,0,0
